bookchapter,out_degree,betweenness,eigen
"kaiser,  chapter-6",0.0027214610186855415,0.008166511762449999,0.008166511762449999
"vos,  a-installing-strange",0.002715860780013551,0.0029759443446781574,0.0029759443446781574
"vos,  chapter-3",0.0027102605413415605,0.0007948200075452897,0.0007948200075452897
"urma2,  chapter-1",0.020689627908230476,0.10740146389401811,0.10740146389401811
"bechberger,  chapter-1",0.00481115353836188,0.04292450139092717,0.04292450139092717
"lauret,  chapter-8",0.0,1.903392965410614e-26,1.903392965410614e-26
"stevens2,  chapter-8",0.0,0.0002598979918854947,0.0002598979918854947
"picheta,  chapter-2",0.0,5.314474144765475e-15,5.314474144765475e-15
"langr,  chapter-9",0.0,5.314474144765475e-15,5.314474144765475e-15
"skeet5,  chapter-2",0.03365468026300982,0.07227484020086057,0.07227484020086057
"mcfedries,  about-this-book",0.008986461272170825,0.020345429428481263,0.020345429428481263
"skeet5,  chapter-3",0.0017327734622992965,0.04658207133555285,0.04658207133555285
"maras,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"ramamurthy,  welcome",0.006867676967060848,0.013579907344324243,0.013579907344324243
"ramamurthy,  chapter-6",0.0042551771959058,0.011706385722806616,0.011706385722806616
"walls7,  about-this-book",0.0,1.903392965410614e-26,1.903392965410614e-26
"walls5,  chapter-2",0.0,6.376366434125559e-25,6.376366434125559e-25
"cukic,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"gustedt,  chapter-1",0.025273954625435305,0.06931667756790293,0.06931667756790293
"curcic,  chapter-5",0.0009754597541393401,0.01851424226737668,0.01851424226737668
"curcic,  chapter-7",0.0004882389896762146,0.006747306333124191,0.006747306333124191
"curcic,  chapter-8",0.0,0.0018021986488434866,0.0018021986488434866
"trask2,  chapter-3",0.0,5.159156970479536e-46,5.159156970479536e-46
"horsdal2,  chapter-4",0.00048263875100422465,3.4050436005164946e-44,3.4050436005164946e-44
"butcher,  chapter-2",0.0009642592767953603,1.1071550858649084e-42,1.1071550858649084e-42
"shukla,  about-this-book",0.0041448173184496645,0.009614748256966187,0.009614748256966187
"butcher,  about-this-book",0.0012240303614565874,0.005796402652679598,0.005796402652679598
"butcher,  chapter-5",0.0,0.002112106106011684,0.002112106106011684
"stoneman,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"dean,  chapter-1",0.003930205680038437,0.0013255932964799538,0.0013255932964799538
"robinson4,  chapter-2",0.0019509195082786802,0.0003540329451612258,0.0003540329451612258
"stojanovic,  chapter-6",0.0014662443068482775,0.00013556716479793245,0.00013556716479793245
"hanchett,  chapter-1",0.0004887481022827591,4.939977077684005e-05,4.939977077684005e-05
"stojanovic,  chapter-1",1.0182252130890815e-06,1.80008716514929e-05,1.80008716514929e-05
"hanchett,  chapter-7",0.0,4.939977077684005e-05,4.939977077684005e-05
"dabit,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"saumont2,  about-this-book",0.0029390218694577445,0.0046745373287501776,0.0046745373287501776
"saumont2,  chapter-1",0.000656166881076539,0.001703267694863834,0.001703267694863834
"kuhn,  about-this-book",0.0015112315501099335,0.003626898945462698,0.003626898945462698
"jemerov,  chapter-1",0.0012174991603278512,0.002213415712534852,0.002213415712534852
"saumont2,  chapter-7",0.0,0.0005911416671303181,0.0005911416671303181
"jemerov,  chapter-2",0.0014204138687898497,0.005094253104112991,0.005094253104112991
"jemerov,  chapter-3",0.0009337022169332688,0.0018562306099223,0.0018562306099223
"preukschat,  chapter-2",0.004256499916684055,0.008507761399137457,0.008507761399137457
"preukschat,  chapter-3",0.0012433679464167369,0.01231809863196198,0.01231809863196198
"atencio,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"atencio,  chapter-4",0.0,6.376366434125559e-25,6.376366434125559e-25
"davis4,  chapter-1",0.008588059262273346,0.09267830070452822,0.09267830070452822
"harenslak,  chapter-2",0.004774069875966217,0.01281203186890355,0.01281203186890355
"hillard,  chapter-2",0.01985155143244039,0.06471023063269533,0.06471023063269533
"windmill,  chapter-2",0.004312493710489465,0.004156698460927379,0.004156698460927379
"kochmar,  chapter-1",0.007216551746340606,0.05010072181123976,0.05010072181123976
"windmill,  chapter-3",0.0030801360250418955,0.039863590193040165,0.039863590193040165
"windmill,  chapter-4",0.0,0.014527654000064569,0.014527654000064569
"windmill,  chapter-5",0.0025817147832347905,0.019822073108683613,0.019822073108683613
"windmill,  chapter-6",0.0025761145445628002,0.007223922497779592,0.007223922497779592
"hazzard,  chapter-1",0.0,0.004773826346180464,0.004773826346180464
"richer,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"richer,  chapter-2",5.091126065445408e-07,7.97171121714821e-15,7.97171121714821e-15
"richer,  chapter-6",0.0,7.971711217129177e-15,7.971711217129177e-15
"krunic,  welcome",0.0049907953248852,0.0005506643147418131,0.0005506643147418131
"khorikov,  welcome",0.008267489028263627,0.00769525286729711,0.00769525286729711
"krunic,  chapter-1",0.0013139161987396541,0.002055244718596052,0.002055244718596052
"hurbans,  chapter-3",0.0052669109873257035,0.017281698675841877,0.017281698675841877
"hillard,  chapter-1",0.005946206644974923,0.04345948048561934,0.04345948048561934
"foulds,  chapter-14",0.0,1.903392965410614e-26,1.903392965410614e-26
"foulds2,  welcome",0.007485774162713513,0.0032831017516872065,0.0032831017516872065
"rhys,  chapter-14",0.0,1.903392965410614e-26,1.903392965410614e-26
"tudose,  chapter-4",0.0,1.903392965410614e-26,1.903392965410614e-26
