bookchapter,out_degree,betweenness,eigen
"carnell,  chapter-5",1.0182252130890815e-06,1.0535280063547752e-23,1.0535280063547752e-23
"carnell,  chapter-3",0.0,1.1446053597496731e-22,1.1446053597496731e-22
"wexler,  chapter-0",1.0182252130890815e-06,1.109829510939109e-12,1.109829510939109e-12
"stojanovic,  chapter-8",0.0,8.900141651319002e-13,8.900141651319002e-13
"love,  chapter-2",0.0032562980904941134,0.018065983629157227,0.018065983629157227
"love,  chapter-1",0.021165863634906346,0.12604216672843696,0.12604216672843696
"urma2,  chapter-4",0.0,5.159156970479536e-46,5.159156970479536e-46
"urma2,  chapter-3",0.031171859052709982,0.0655047852725632,0.0655047852725632
"urma2,  list-of-tables",0.0,0.017494001415357143,0.017494001415357143
"stoneman,  chapter-5",0.0,0.0005911416671303181,0.0005911416671303181
"kinney,  chapter-14",0.0029408889717045398,8.680265399510849e-05,8.680265399510849e-05
"kinney,  chapter-1",0.0,0.0005977264449884382,0.0005977264449884382
"finnigan,  chapter-2",0.0,5.159156970479536e-46,5.159156970479536e-46
"finnigan,  about-this-book",0.0022855456730893147,0.02868318095183531,0.02868318095183531
"finnigan,  appendix",0.00048772987706967004,0.007660242171528884,0.007660242171528884
"finnigan,  chapter-3",0.0,0.0027911788694525565,0.0027911788694525565
"skeet5,  about-this-book",0.02279078959015922,0.025745727903173865,0.025745727903173865
"clinton3,  about-this-book",0.010156623676674187,0.052991242730710784,0.052991242730710784
"skeet2,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"lauret,  chapter-11",0.010509088151325306,0.20341694782888853,0.20341694782888853
"lauret,  chapter-12",0.00017167087098600493,0.05432614387740452,0.05432614387740452
"lauret,  chapter-9",0.0017947736461667327,0.09910181792901857,0.09910181792901857
"vos,  welcome",0.0009754597541393401,0.0002122818863891566,0.0002122818863891566
"vos,  chapter-1",0.0,7.73574222812336e-05,7.73574222812336e-05
"apeltsin,  chapter-5",0.0,1.903392965410614e-26,1.903392965410614e-26
"jain,  welcome",0.0010437233061993641,0.0190430111373323,0.0190430111373323
"jain,  chapter-1",0.0069803786127514734,0.030706412900017327,0.030706412900017327
"kaiser,  chapter-1",0.00013492949700631002,0.01118877071312717,0.01118877071312717
"zumel,  chapter-6",0.0,5.159156970479536e-46,5.159156970479536e-46
"zumel,  chapter-8",0.00048212963839768013,3.4050436005164946e-44,3.4050436005164946e-44
"zumel3,  welcome",0.009496892294396478,0.036622353943882434,0.036622353943882434
"luksa,  chapter-17",0.004827263788116591,0.00892588606359282,0.00892588606359282
"siriwardena,  welcome",0.0018770890212193095,0.00238397502294404,0.00238397502294404
"robey,  chapter-1",0.004280199856041202,0.011179693118630698,0.011179693118630698
"buckett,  about-this-book",0.0006465592604682947,0.001110128612844628,0.001110128612844628
"nuckolls,  welcome",0.000640959021796305,0.00029648101062684616,0.00029648101062684616
"lerner,  welcome",0.006526729673260056,0.016359783626143556,0.016359783626143556
"valigi,  welcome",0.0023213620992871835,0.004369200472934638,0.004369200472934638
"briggs,  about-this-book",0.003249050112318249,0.03055137363034954,0.03055137363034954
"obe3,  welcome",0.006876482154075814,0.010472440936474531,0.010472440936474531
"geewax3,  welcome",0.0036767959506093474,0.017099612544535337,0.017099612544535337
"apeltsin,  chapter-1",0.005252806703492379,0.013420219259575034,0.013420219259575034
"buckett,  chapter-9",0.001697912802727888,0.004890116065244834,0.004890116065244834
"hunter,  about-this-book",0.01781763999684347,0.06765994841842803,0.06765994841842803
"chollet,  chapter-7",0.0036795003858255803,0.02178780702370892,0.02178780702370892
"khorikov,  chapter-4",0.013295273295517664,0.05489886425504438,0.05489886425504438
"perrin,  13-transforming-entire-documents",0.0,5.159156970479536e-46,5.159156970479536e-46
"perrin,  14-extending-transformations-with-user-defined-functions-udfs-",0.00048263875100422465,3.4050436005164946e-44,3.4050436005164946e-44
"perrin,  2-architecture-and-flow",0.0009642592767953603,1.1071550858649084e-42,1.1071550858649084e-42
"perrin,  foreword",0.006322899167436038,0.01012276197089204,0.01012276197089204
"skeet5,  chapter-5",0.031108667758158837,0.10748586024484698,0.10748586024484698
"perrin,  5-building-a-simple-app-for-deployment",0.0018912980141509615,0.028707233186535976,0.028707233186535976
"perrin,  15-aggregating-your-data",0.0018856977754789731,0.007667105275098687,0.007667105275098687
"perrin,  a-installing-eclipse",0.0018800975368069837,0.0020477253712622443,0.0020477253712622443
"bhargava,  about-this-book",0.0027991562866871017,0.03600345326778086,0.03600345326778086
"ketelsen,  about-this-book",0.007385889342475257,0.05042738241298332,0.05042738241298332
"ketelsen,  chapter-6",0.0009754597541393401,0.013467432123590941,0.013467432123590941
"perrin,  chapter-12",0.0004882389896762146,0.004907209408229375,0.004907209408229375
"perrin,  12-transforming-your-data",0.0,0.0017880530449286027,0.0017880530449286027
"curcic,  welcome",0.0,0.03055137363034954,0.03055137363034954
"metzgar,  chapter-1",0.0,1.903392965410614e-26,1.903392965410614e-26
"orland,  welcome",0.00048416608882385833,3.4050436005164946e-44,3.4050436005164946e-44
"rosenbaum,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"rosenbaum,  chapter-10",0.0,1.903392965410614e-26,1.903392965410614e-26
"huaylupo,  chapter-2",0.0018231745316332304,0.014040081119901569,0.014040081119901569
"huaylupo,  chapter-3",0.0006830097146928107,0.0037497857429680936,0.0037497857429680936
"huaylupo,  welcome",0.00884786563785882,0.03158997044711439,0.03158997044711439
"carnell,  about-this-book",0.000370138697573961,0.008437239187466054,0.008437239187466054
"huaylupo,  chapter-1",0.00924505522168467,0.07937755140217317,0.07937755140217317
"carnell,  chapter-6",0.0034834441596217707,0.04043548468939597,0.04043548468939597
"luksa,  chapter-2",0.0005429055618903711,5.065176010683108e-16,5.065176010683108e-16
"luksa,  part-2",4.8609157881014857e-05,2.6698455653896874e-16,2.6698455653896874e-16
"luksa,  chapter-3",0.0006270243294744848,8.621488151519653e-16,8.621488151519653e-16
"luksa,  chapter-4",0.009112520100849834,0.06974070794609434,0.06974070794609434
"orland,  chapter-1",0.00048416608882385833,7.613571861642456e-26,7.613571861642456e-26
"jemerov,  chapter-4",0.0,0.000676362647704651,0.000676362647704651
"jones4,  about-this-book",0.0033888232133626457,3.524180898386863e-05,3.524180898386863e-05
"jones4,  chapter-4",0.00048772987706967004,9.41359078805068e-06,9.41359078805068e-06
"jones9,  part-2",0.0,2.5145318760003395e-06,2.5145318760003395e-06
"ibsen2,  chapter-2",0.0,1.903392965410614e-26,1.903392965410614e-26
"ibsen2,  chapter-12",0.0034812865479212415,0.00011395650515092585,0.00011395650515092585
"saumont2,  chapter-4",0.0,1.903392965410614e-26,1.903392965410614e-26
"normand,  chapter-2",0.011011904660890378,0.019439525286591496,0.019439525286591496
"borgatti,  welcome",0.013353286466527876,0.005443934914643942,0.005443934914643942
"hunter,  chapter-1",0.009761767145437259,0.07126494318661514,0.07126494318661514
"geewax3,  chapter-2",0.014977139359779377,0.051049972082207136,0.051049972082207136
"bennett2,  chapter-10",0.00028405089361141744,0.0009883132834081106,0.0009883132834081106
"infante,  about-this-book",0.0008577529195062423,0.007017776186936802,0.007017776186936802
"cantelon2,  about-this-book",0.0024437405114137957,0.016028141114424414,0.016028141114424414
"dabit,  about-this-book",0.001467771644667911,0.004281059281540527,0.004281059281540527
"thomas,  about-this-book",0.0009795326549916965,0.0011434597378982378,0.0011434597378982378
"dabit,  chapter-12",0.0004902754401023928,0.00041672293016459716,0.00041672293016459716
"dabit,  part-1",0.0,0.00011130666087837013,0.00011130666087837013
"clinton3,  chapter-2",0.0009492398134961384,0.0480153656680343,0.0480153656680343
"wong,  welcome",0.005865630594970618,0.031017247410079135,0.031017247410079135
"clinton3,  chapter-3",0.0016020166398029766,0.04921176649999771,0.04921176649999771
"winkler,  chapter-6",0.0010892086733955337,0.005077858655917346,0.005077858655917346
"winkler,  welcome",0.009091081611407256,0.021542080341533765,0.021542080341533765
"bhargava,  chapter-1",0.010675094617109719,0.03832254610347338,0.03832254610347338
"bhargava,  chapter-6",0.0025394533169446343,0.013224503506824482,0.013224503506824482
"bhargava,  chapter-7",0.00048772987706967004,0.003531968721037351,0.003531968721037351
"bhargava,  chapter-8",0.0,0.0012870557698803182,0.0012870557698803182
"jones9,  chapter-26",0.0,1.903392965410614e-26,1.903392965410614e-26
"carnell,  chapter-2",0.0,8.891451218535469e-05,8.891451218535469e-05
"jones5,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"jones5,  chapter-18",0.00048212963839768013,1.903392965410614e-26,1.903392965410614e-26
"jones5,  chapter-11",0.003452050030316934,0.03808230934209017,0.03808230934209017
"jones5,  chapter-16",0.0,0.013876132952014677,0.013876132952014677
"trask2,  about-this-book",0.00889384979217358,0.02637880052583539,0.02637880052583539
"morales,  chapter-4",0.006663706936374921,0.01186192518052357,0.01186192518052357
"foulds,  about-this-book",0.0,3.524180898386863e-05,3.524180898386863e-05
"plunk,  chapter-2",0.00416813456704466,0.01446567150829673,0.01446567150829673
"ponge,  welcome",0.0,5.159156970479536e-46,5.159156970479536e-46
"ponge,  chapter-2",1.0182252130890815e-06,3.779835009200326e-17,3.779835009200326e-17
"ponge,  chapter-1",1.0182252130890815e-06,2.1539022815673425e-17,2.1539022815673425e-17
"ponge,  chapter-3",2.036450426178163e-06,2.853313030542688e-17,2.853313030542688e-17
"winkler,  chapter-4",0.0,1.903392965410614e-26,1.903392965410614e-26
"sbarski,  about-this-book",0.0,5.159156970479536e-46,5.159156970479536e-46
"zburivsky,  welcome",0.010302993654823463,0.03852924006335869,0.03852924006335869
"seemann2,  chapter-5",0.010689992899638338,0.0023700849582137485,0.0023700849582137485
"hagiwara,  chapter-5",0.0,1.903392965410614e-26,1.903392965410614e-26
"hagiwara,  chapter-4",0.00024461587962948823,0.03560806355321815,0.03560806355321815
"elger,  chapter-3",0.0,5.159156970479536e-46,5.159156970479536e-46
"lane,  chapter-2",0.01874312519679113,0.10542470969737305,0.10542470969737305
"serrano,  chapter-5",0.0,0.028157392368334696,0.028157392368334696
"scott2,  chapter-7",0.0009754597541393401,0.03841839901250947,0.03841839901250947
"cielen,  chapter-8",0.0004882389896762146,0.010261006644174774,0.010261006644174774
"cielen,  chapter-3",0.0,0.002740572192596162,0.002740572192596162
"fogus2,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"faella,  chapter-1",0.017219501211807136,0.05430672251880458,0.05430672251880458
"lane,  chapter-1",0.027855367206673608,0.12630676577874864,0.12630676577874864
"lane,  appendix-a",0.0,0.04602905936398075,0.04602905936398075
"lane,  appendix-b",0.0030427560797999533,0.028157392368334696,0.028157392368334696
"hurbans,  chapter-2",0.0066589757948621354,0.045776190732321434,0.045776190732321434
"koenig2,  chapter-3",0.0,1.903392965410614e-26,1.903392965410614e-26
"stevens2,  part-1",0.0,0.0076135220122848495,0.0076135220122848495
"wolohan,  chapter-2",0.0,0.0076135220122848495,0.0076135220122848495
"davis4,  welcome",0.015019802315811868,0.05158658733359406,0.05158658733359406
"jensen,  chapter-1",0.0,0.018797447456589303,0.018797447456589303
"geewax2,  chapter-5",0.0,0.008200646016167266,0.008200646016167266
"devore,  chapter-1",0.006480216374234408,0.011816202246375987,0.011816202246375987
"jain,  chapter-2",0.0033668090138733175,0.07130444102144076,0.07130444102144076
"richer2,  introduction",0.0,0.01838404060267463,0.01838404060267463
"pollard,  chapter-1",0.0,0.0480153656680343,0.0480153656680343
"fain3,  chapter-10",0.0,5.159156970479536e-46,5.159156970479536e-46
"lyon,  chapter-1",0.010884578521053803,0.03024952231394332,0.03024952231394332
"lyon,  chapter-2",0.0033344511836158816,0.011404978431077194,0.011404978431077194
"lyon,  chapter-3",0.0028411210678742213,0.004156356623986484,0.004156356623986484
"zai,  chapter-1",0.0,0.0009118188824844338,0.0009118188824844338
"negro,  chapter-3",0.0035769809137314082,0.0023726695315131234,0.0023726695315131234
"clinton4,  chapter-13",0.0,5.159156970479536e-46,5.159156970479536e-46
"clinton4,  brief-contents",5.091126065445408e-07,3.4050436005164946e-44,3.4050436005164946e-44
"vehent,  chapter-4",0.0,5.710178896231837e-26,5.710178896231837e-26
"jones8,  about-this-book",0.00016709075746791828,1.750612108501961e-06,1.750612108501961e-06
"jones8,  chapter-1",0.0043383671868450335,0.0665482249664351,0.0665482249664351
"richardson3,  chapter-3",0.0014631896312090101,0.028785855132730215,0.028785855132730215
"richardson3,  chapter-4",0.0009764779793524292,0.01048887346401598,0.01048887346401598
"richardson3,  chapter-5",0.0004887481022827591,0.003821857690033798,0.003821857690033798
"richardson3,  chapter-6",0.0,0.0013925657165629489,0.0013925657165629489
"scott4,  chapter-7",0.0,1.903392965410614e-26,1.903392965410614e-26
"scott4,  chapter-3",0.0,6.376366434125559e-25,6.376366434125559e-25
"richer,  chapter-12",0.0,1.903392965410614e-26,1.903392965410614e-26
"farrell,  chapter-12",0.0006404523454195534,0.017563769131972422,0.017563769131972422
"orland,  chapter-3",0.005688144860999793,0.02386834680298497,0.02386834680298497
"orland,  chapter-9",0.0,0.017718229469307404,0.017718229469307404
"ibsen2,  chapter-3",0.0,5.159156970479536e-46,5.159156970479536e-46
"ibsen2,  chapter-1",0.012884419608524371,0.004809982638870468,0.004809982638870468
"ibsen,  chapter-3",0.0,0.0012846246556774768,0.0012846246556774768
"miell2,  chapter-8",0.016440074434685113,0.013633561727940531,0.013633561727940531
"johnsson,  chapter-1",0.005068470295631246,0.013934616263630257,0.013934616263630257
"lauret,  chapter-3",0.010123102660278613,0.1230348357972433,0.1230348357972433
"johnsson,  chapter-6",0.000486711651856581,0.04483147197208549,0.04483147197208549
"johnsson,  chapter-8",0.00048111141318459103,0.016335565333545934,0.016335565333545934
"lauret,  chapter-13",0.0021542041555130823,0.037221173278248136,0.037221173278248136
"lauret,  chapter-5",0.0030147978066342386,0.07930645316513785,0.07930645316513785
"bragilevsky,  chapter-0",0.0,1.903392965410614e-26,1.903392965410614e-26
"bragilevsky,  welcome",0.001542056326237652,0.0056120014851504,0.0056120014851504
"hanchett,  about-this-book",0.000920532037787289,0.01851424226737668,0.01851424226737668
"veen,  about-this-book",0.0026481000381702274,0.020501404910417062,0.020501404910417062
"ghosh2,  chapter-1",0.0,0.005475387149423956,0.005475387149423956
"pollard,  chapter-7",0.0,5.159156970479536e-46,5.159156970479536e-46
"skeet5,  chapter-15",0.0,3.806785930821228e-26,3.806785930821228e-26
"ketelsen,  chapter-2",0.015004302136149656,0.06941487496259457,0.06941487496259457
"hinman,  about-this-book",0.003202911941037162,0.013430107155607685,0.013430107155607685
"sotobueno,  preface",0.0017577490361401422,0.017769438973267892,0.017769438973267892
"pollard,  preface",0.0014033222312844263,0.021199095205458113,0.021199095205458113
"picheta,  about-this-book",0.0013977219926124362,0.005661547147311037,0.005661547147311037
"vehent,  about-this-book",0.0013921217539404468,0.001511997154767265,0.001511997154767265
"madden,  chapter-1",0.016532965656452625,0.04833072949089317,0.04833072949089317
"fogus2,  about-this-book",0.0017892278238846489,0.013467432123590941,0.013467432123590941
"fogus2,  foreword-to-the-first-edition",0.0017836275852126603,0.0035966756227395736,0.0035966756227395736
"luksa,  chapter-1",0.00177802734654067,0.0013105337854898017,0.0013105337854898017
"hunter,  foreword",0.002163807369051025,0.00023919937083119097,0.00023919937083119097
"rodger,  about-this-book",0.00087185148179384,0.04229931405446618,0.04229931405446618
"mcfedries,  preface",0.0008662512431218501,0.011296602441190289,0.011296602441190289
"richer,  about-this-book",0.007524701793580458,0.029545002249397205,0.029545002249397205
"mcfedries,  chapter-1",0.002708373001690596,0.02821345699148024,0.02821345699148024
"byars,  chapter-6",0.00046612520976155677,0.007534784559474645,0.007534784559474645
"faella,  welcome",0.006753545044848658,0.024451452462328296,0.024451452462328296
"sotobueno,  chapter-1",0.0009885042780957039,0.0440607838679412,0.0440607838679412
"noback,  welcome",0.004296642692776718,0.028778278654178726,0.028778278654178726
"gardner,  about-this-book",0.0067270192779594,0.06812555517242391,0.06812555517242391
"rathore2,  chapter-1",0.0002767135636766213,0.034376540365406764,0.034376540365406764
"urma,  chapter-12",0.0014980069814170397,0.025070439546031147,0.025070439546031147
"urma,  chapter-1",0.003257926896876335,0.034428011689660566,0.034428011689660566
"guinard2,  introduction",0.0013044856802779832,0.007660242171528884,0.007660242171528884
"guinard,  chapter-1",0.0035752796135638566,0.038901747091533635,0.038901747091533635
"bakshi,  chapter-1",0.006860673785842391,0.05824871288787432,0.05824871288787432
"bakshi,  about-this-book",0.0031729234944055293,0.008226141607887821,0.008226141607887821
"bakshi,  chapter-14",0.005431187508133841,0.03996889060785757,0.03996889060785757
"yuen,  chapter-3",0.0034931209238637964,0.0440607838679412,0.0440607838679412
"jemerov,  about-this-book",0.003487520685191802,0.01176718049539759,0.01176718049539759
"pollard,  about-this-book",0.002113130131226028,0.009598057872500135,0.009598057872500135
"bonaci,  about-this-book",0.0002992008505698035,0.002563356283520811,0.002563356283520811
"poccia,  about-this-book",0.005423975738274837,0.016642301898317616,0.016642301898317616
"kuhn,  chapter-1",0.001535678781170843,0.005416657632532354,0.005416657632532354
"luksa,  chapter-5",0.0015300785424988527,0.001973677826803684,0.001973677826803684
"fain4,  chapter-1",0.017970803170325296,0.07423129046522944,0.07423129046522944
"sbarski2,  welcome",0.0016698112172538336,0.019137421673696805,0.019137421673696805
"zburivsky,  chapter-1",0.002849621124815597,0.021013148079313183,0.021013148079313183
"gallant,  about-this-book",0.0035988687238970272,0.02001304059851615,0.02001304059851615
"smith2,  about-this-book",0.004218230105098555,0.01187542787098952,0.01187542787098952
"brink,  about-this-book",0.004421179366855909,0.016030497327371277,0.016030497327371277
"urma,  chapter-3",0.01143624631825488,0.049353546666217364,0.049353546666217364
"siddaway5,  introduction",0.0018195975479391331,0.04229931405446618,0.04229931405446618
"guthrie2,  chapter-2",0.0018139973092671428,0.011296602441190289,0.011296602441190289
"scott4,  b-installation",0.0018083970705951528,0.0030168946062889327,0.0030168946062889327
"serrano,  ",0.0037672571193054353,0.0015277261536025214,0.0015277261536025214
"iannone,  welcome",0.0017153009817969936,0.0004080021060640577,0.0004080021060640577
"rhys,  welcome",0.006499366204374763,0.052555477135826194,0.052555477135826194
"cdavis,  chapter-1",0.015312910317768082,0.024493758640675312,0.024493758640675312
"chollet,  preface",0.0020926120190596156,0.013180953592227169,0.013180953592227169
"skeet5,  chapter-1",0.034847732389868095,0.07105450896098044,0.07105450896098044
"skeet5,  part-4",0.0011115077522479949,0.0068758483820804865,0.0068758483820804865
"skeet5,  part-3",0.005824717439968827,0.020812658409741003,0.020812658409741003
"thymegobbel2,  chapter-1",0.008735076368573333,0.007761368201776194,0.007761368201776194
"kabacoff3,  welcome",0.0012351728428409941,0.0009298328410168569,0.0009298328410168569
"sharvit,  welcome",0.003736322467593494,0.0014539183455850853,0.0014539183455850853
"kurt,  about-this-book",0.0016611851401246759,0.00038829861326703625,0.00038829861326703625
"scott3,  introduction",0.004046157505921321,0.00010781665321383923,0.00010781665321383923
"rathore2,  preface-to-the-first-edition",0.0010132741738019604,0.004369200472934638,0.004369200472934638
"spilca,  chapter-2",0.0011021255564459369,0.0048248594057963955,0.0048248594057963955
"spilca,  welcome",0.0010965253177739472,0.00128856445993101,0.00128856445993101
"noback,  chapter-5",0.0010909250791019572,0.0003441327139836427,0.0003441327139836427
"cai,  welcome",0.005000134537350547,0.01019556095620465,0.01019556095620465
"hudgeon,  welcome",0.004281099953911579,0.018353117713354423,0.018353117713354423
"luksa,  chapter-11",0.0006011771362280118,0.017798233324615536,0.017798233324615536
"kjerrumgaard2,  welcome",0.000595576897556022,0.004753725361336018,0.004753725361336018
"kjerrumgaard2,  chapter-1",0.0010384595281477064,0.016486197351217972,0.016486197351217972
"love,  table-of-contents",0.000978692619190898,0.021199095205458113,0.021199095205458113
"rathore2,  acknowledgments",0.0009730923805189082,0.005661547147311037,0.005661547147311037
"robinson4,  brief-contents",0.0009674921418469182,0.001511997154767265,0.001511997154767265
"zumel,  about-this-book",0.005630465058181224,0.02399596104469692,0.02399596104469692
"ceder,  about-this-book",0.003966408086096383,0.002915462822818721,0.002915462822818721
"ibsen2,  chapter-7",0.0009828527964900902,0.0017527353893917158,0.0017527353893917158
"ibsen2,  chapter-4",0.0029210444896051566,0.0017527353893917158,0.0017527353893917158
"ibsen2,  chapter-16",0.0004907845527089373,0.000468110733714239,0.000468110733714239
"ibsen2,  chapter-5",0.0004851843140369474,0.00017057701560645,0.00017057701560645
"ibsen2,  chapter-9",0.0013085248578593965,0.0014150929419831971,0.0014150929419831971
"ibsen2,  chapter-19",0.005177391633570784,0.0011709406516650731,0.0011709406516650731
"ibsen2,  chapter-15",0.003004757148195552,0.000312728062727069,0.000312728062727069
"ibsen2,  chapter-18",0.0034756863092492516,4.15252632103016e-05,4.15252632103016e-05
"bjarnason,  about-this-book",0.0011315249912145756,4.041324483933646e-06,4.041324483933646e-06
"nickoloff2,  about-this-book",0.01544353906808981,0.05355459723367169,0.05355459723367169
"gardner,  chapter-1",0.005470975957466972,0.06471505163676426,0.06471505163676426
"gardner,  chapter-2",0.002067338084999457,0.023580517279116208,0.023580517279116208
"gardner,  chapter-3",0.00017000118453533122,0.006297459353176544,0.006297459353176544
"gardner,  preface",0.00021797358292026365,0.017283057925939666,0.017283057925939666
"gardner,  chapter-7",0.0015819710570937795,0.0311205949467894,0.0311205949467894
"gardner,  chapter-10",0.0007277827339485968,0.011339385166542839,0.011339385166542839
"ceder,  chapter-1",0.0007221824952766069,0.0030282836134202687,0.0030282836134202687
"roestenburg,  chapter-1",0.006043405088780769,0.026371515174189643,0.026371515174189643
"sotobueno,  chapter-6",0.000486711651856581,0.028645972201310675,0.028645972201310675
"gardner,  chapter-11",0.00048111141318459103,0.010437829864348299,0.010437829864348299
"hillard,  chapter-7",0.0030732384437679055,0.039076341432175955,0.039076341432175955
"hillard,  chapter-8",0.0007356186700775493,0.020881164803465455,0.020881164803465455
"hillard,  chapter-11",0.0009622228263691821,0.018231576191922422,0.018231576191922422
"hillard,  chapter-10",0.0,0.005576497722633102,0.005576497722633102
"hillard,  welcome",0.002346403846697738,0.018198139389252844,0.018198139389252844
"hillard,  chapter-5",0.002327973412166744,0.02147952996618237,0.02147952996618237
"guthrie2,  introduction",0.001639706403167594,0.00573630176574017,0.00573630176574017
"morales,  chapter-2",0.0018708130639846414,0.007496428117218201,0.007496428117218201
"morales,  chapter-3",0.00010126370961458188,0.002002169206119343,0.002002169206119343
"morales,  brief-contents",0.003062982053877592,0.0031691577734321197,0.0031691577734321197
"serrano,  welcome",0.001527671773260059,0.017494001415357143,0.017494001415357143
"vermeulen,  welcome",0.0015220715345880698,0.004672004294131879,0.004672004294131879
"khan,  welcome",0.0015164712959160798,0.0012477141710766256,0.0012477141710766256
"madden,  chapter-6",0.00151087105724409,0.00033321506039012285,0.00033321506039012285
"madden,  chapter-2",0.03793816948508894,0.08598506005365796,0.08598506005365796
"madden,  chapter-7",0.0012999295420477166,0.014746143147088962,0.014746143147088962
"vermeulen,  chapter-1",0.005386355447754431,0.05771207170816509,0.05771207170816509
"urma2,  chapter-19",0.0004924030026972604,0.02102870441718962,0.02102870441718962
"normand,  welcome",0.004773120022671751,0.023436666540263325,0.023436666540263325
"urma,  chapter-13",0.0032120738624448514,0.008540949116177221,0.008540949116177221
"vermeulen,  chapter-2",0.0032064736237728615,0.0031125680716234455,0.0031125680716234455
"faella,  chapter-2",0.0025460260827600803,0.017610592453104184,0.017610592453104184
"faella,  chapter-3",0.006575937984764271,0.010229876561158119,0.010229876561158119
"faella,  chapter-4",0.0,0.002732064412782243,0.002732064412782243
"zumel3,  chapter-1",0.0027254328726376924,0.003727571452954031,0.003727571452954031
"dean,  chapter-3",0.0027198326339657026,0.000995507040171788,0.000995507040171788
"ceder,  chapter-2",0.0016446532769214513,0.014504393855345273,0.014504393855345273
"johnsson,  cover",0.0016390530382494612,0.0038738763367271107,0.0038738763367271107
"trask2,  chapter-1",0.0,0.009779940144113956,0.009779940144113956
"mostarda,  about-this-book",0.0,5.159156970479536e-46,5.159156970479536e-46
"smith3,  chapter-11",0.0038707831475581433,0.0071044661114885626,0.0071044661114885626
"payette3,  about-this-book",0.003883171554317394,0.0018980182431995397,0.0018980182431995397
"langr,  about-this-book",0.003517110096664145,0.0006226675173855458,0.0006226675173855458
"pfeffer,  chapter-9",3.5637882458117855e-06,0.00016630322608966145,0.00016630322608966145
"sick,  chapter-4",0.004503770328147461,0.008729091493421697,0.008729091493421697
"pfeffer,  chapter-5",0.0,0.002331376366990778,0.002331376366990778
"smith,  chapter-15",0.0,1.903392965410614e-26,1.903392965410614e-26
"nickoloff2,  chapter-2",0.0,1.903392965410614e-26,1.903392965410614e-26
"dean,  chapter-2",0.0021847217683146746,0.0013655674898377704,0.0013655674898377704
"gallant,  preface",0.0,0.005345390844366154,0.005345390844366154
"smith3,  chapter-12",0.0,1.903392965410614e-26,1.903392965410614e-26
"obe2,  chapter-8",0.0,5.159156970479536e-46,5.159156970479536e-46
"obe2,  about-this-book",0.003151411754638408,0.008660970065393521,0.008660970065393521
"obe2,  chapter-12",0.004083618457071241,0.0027968658392388043,0.0027968658392388043
"obe3,  chapter-2",0.004560147856796932,0.0010191297400360473,0.0010191297400360473
"obe2,  chapter-10",0.0029263792624180203,0.0003713506320507603,0.0003713506320507603
"obe2,  chapter-1",0.0024452678492334293,0.00017574658887655568,0.00017574658887655568
"obe2,  appendix-a",0.0,4.693532528684719e-05,4.693532528684719e-05
"obe2,  chapter-5",0.0,6.403711301382894e-05,6.403711301382894e-05
"obe2,  chapter-13",0.000980041767598241,7.820214941910768e-05,7.820214941910768e-05
"obe2,  chapter-2",0.0,2.8494205721722255e-05,2.8494205721722255e-05
"obe2,  appendix-c",5.091126065445408e-07,3.887640838784188e-05,3.887640838784188e-05
"marz,  about-this-book",0.0,5.159156970479536e-46,5.159156970479536e-46
"alag,  about-this-book",0.00390253180376626,0.009009419712111074,0.009009419712111074
"hatcher3,  about-this-book",0.001653491846226604,0.002406270669608594,0.002406270669608594
"ramamurthy,  chapter-2",0.00095089788091068,0.004948546518285031,0.004948546518285031
"alag,  chapter-8",0.0009452976422386904,0.0013216475728223332,0.0013216475728223332
"ceder2,  about-this-book",0.005851017903982562,0.005811216043247046,0.005811216043247046
"kinney,  about-this-book",0.0029617625885728664,0.0015526042801226308,0.0015526042801226308
"kinney,  chapter-12",0.002470468923257384,0.0005660729957205435,0.0005660729957205435
"kinney,  chapter-11",0.002464868684585394,0.00020639763825377636,0.00020639763825377636
"kinney,  chapter-15",0.0,3.165344926789466e-05,3.165344926789466e-05
"kinney,  chapter-16",0.002446031518143246,2.319483845063833e-05,2.319483845063833e-05
"ramamurthy,  chapter-1",0.003957111675207879,0.0021205647168289405,0.0021205647168289405
"osherove3,  chapter-1",0.0039515114365358895,0.0005663331491998372,0.0005663331491998372
"kochmar,  chapter-3",0.004249576957233808,0.00426609512407894,0.00426609512407894
"raaijmakers,  chapter-3",0.0230895408224075,0.0977001337797725,0.0977001337797725
"lane,  chapter-6",0.000486711651856581,0.04385590410487133,0.04385590410487133
"infante2,  chapter-1",0.000481111413184591,0.011713144712257898,0.011713144712257898
"cukic,  chapter-1",0.003590974016979081,0.03527113599244516,0.03527113599244516
"nickoloff,  chapter-1",0.0007251816511378417,0.02000420199190083,0.02000420199190083
"smart,  chapter-10",0.0007195814124658503,0.0072891317746370705,0.0072891317746370705
"preukschat,  by-drummond-reed-and-alex-preukschat",0.0022638268566767773,0.004937213020308774,0.004937213020308774
"preukschat,  chapter-1",0.007130137015941981,0.010438921974762592,0.010438921974762592
"rfeldman,  chapter-2",0.0031201800982523344,0.0247492580616598,0.0247492580616598
"walls7,  chapter-3",0.0,5.159156970479536e-46,5.159156970479536e-46
